kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Simple Fun #193: Moment Of Time In Space,myjinxin2015,7 kyu,"Mar 10, 2017",2,3,335,4,538,197,71,89,71,57,13,1,6.0,7 kyu,7 kyu,7 kyu,Fundamentals
Simple Fun #192: Three Details,myjinxin2015,6 kyu,"Mar 10, 2017",3,6,228,17,260,56,15,95,28,25,3,0,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #191: Sum Of Regular Numbers,myjinxin2015,6 kyu,"Mar 10, 2017",12,6,393,14,754,116,50,92,46,41,3,2,5.0,6 kyu,6 kyu,7 kyu,Algorithms
Simple Fun #186: Duplicate Phone Numbers,myjinxin2015,6 kyu,"Mar 8, 2017",7,6,269,9,566,131,42,92,58,51,5,2,5.0,6 kyu,6 kyu,7 kyu,Algorithms
Simple Fun #184: LCM from m to n,myjinxin2015,7 kyu,"Mar 6, 2017",11,0,452,16,741,208,49,91,78,66,10,2,6.0,7 kyu,7 kyu,7 kyu,Fundamentals
Simple Fun #181: Rounding,myjinxin2015,7 kyu,"Mar 6, 2017",9,-6,622,12,2018,308,123,88,121,98,18,5,9.0,7 kyu,7 kyu,7 kyu,Fundamentals
Simple Fun #175: Same Encryption,myjinxin2015,7 kyu,"Mar 1, 2017",9,-4,431,5,1330,220,70,89,85,69,14,2,5.0,7 kyu,7 kyu,7 kyu,"Algorithms, Puzzles, Games"
Simple Fun #162: Pair Wise,myjinxin2015,6 kyu,"Feb 24, 2017",11,3,346,13,485,122,35,95,55,50,4,1,6.0,6 kyu,5 kyu,7 kyu,Algorithms
Simple Fun #156: Rotate Paper By 180 Degrees,myjinxin2015,6 kyu,"Feb 22, 2017",5,3,233,0,587,134,42,92,58,50,7,1,7.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #166: Best Match,myjinxin2015,5 kyu,"Feb 27, 2017",43,12,2966,839,9544,1334,431,89,247,198,45,4,7.0,5 kyu,5 kyu,6 kyu,Fundamentals
Simple Fun #161: Replace Dashes As One,myjinxin2015,6 kyu,"Feb 24, 2017",9,8,350,9,922,169,80,95,71,64,7,0,10.0,6 kyu,6 kyu,7 kyu,Algorithms
Simple Fun #157: Counting Triangles,myjinxin2015,7 kyu,"Feb 22, 2017",7,4,300,4,390,169,35,92,73,63,8,2,5.0,7 kyu,7 kyu,7 kyu,Algorithms
Simple Fun #151: Rocks,myjinxin2015,6 kyu,"Feb 22, 2017",12,3,407,24,945,131,29,93,46,41,4,1,7.0,5 kyu,5 kyu,7 kyu,Algorithms
Simple Fun #147: Find The Missing Tree,myjinxin2015,7 kyu,"Feb 20, 2017",7,7,482,15,601,245,59,93,88,76,11,1,5.0,6 kyu,6 kyu,7 kyu,Algorithms
Simple Fun #141: Hamming Distance,myjinxin2015,6 kyu,"Feb 17, 2017",6,4,387,4,582,257,83,92,95,83,9,3,10.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #137: S2N,myjinxin2015,7 kyu,"Feb 17, 2017",5,3,301,2,386,207,73,92,79,68,9,2,8.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Simple Fun #133: Six Column Encryption,myjinxin2015,6 kyu,"Feb 17, 2017",4,4,250,4,782,118,35,95,54,49,5,0,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #131: Learn Charitable Game,myjinxin2015,7 kyu,"Feb 17, 2017",0,3,387,9,533,202,56,89,88,73,11,4,8.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #130: Robot Walk,myjinxin2015,6 kyu,"Feb 17, 2017",6,4,234,9,538,65,22,91,27,22,5,0,7.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple Fun #124: Lamps,myjinxin2015,7 kyu,"Feb 15, 2017",13,2,676,18,1343,341,111,94,118,107,7,4,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #121: Mr.Odd,myjinxin2015,6 kyu,"Feb 10, 2017",6,8,297,7,670,117,37,95,56,50,6,0,6.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple Fun #120: Range Collapse Representation,myjinxin2015,6 kyu,"Feb 10, 2017",2,4,198,31,274,56,14,93,27,24,2,1,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #115: Factor Sum,myjinxin2015,6 kyu,"Feb 10, 2017",7,11,462,23,588,172,50,95,61,55,6,0,5.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple Fun #113: Number Increasing,myjinxin2015,7 kyu,"Feb 10, 2017",9,-4,636,10,1238,171,40,87,62,48,12,2,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #110: Array Operations,myjinxin2015,6 kyu,"Feb 8, 2017",7,5,282,2,654,126,53,94,54,48,5,1,10.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #109: Segment Cover,myjinxin2015,7 kyu,"Feb 8, 2017",4,1,294,9,394,133,35,89,57,48,6,3,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #105: Rectangles,myjinxin2015,7 kyu,"Feb 8, 2017",4,5,397,11,552,169,52,84,69,51,14,4,5.0,6 kyu,6 kyu,8 kyu,"Puzzles, Games"
Chess Fun #4: Bishop Diagonal,myjinxin2015,5 kyu,"Feb 6, 2017",22,13,495,93,1611,180,57,95,72,67,3,2,5.0,5 kyu,5 kyu,6 kyu,"Puzzles, Games"
Simple Fun #91: Unique Digit Products,myjinxin2015,6 kyu,"Feb 6, 2017",4,7,416,2,554,285,97,95,118,107,10,1,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple Fun #66: Obtain Max Number,myjinxin2015,6 kyu,"Feb 3, 2017",14,8,414,19,696,154,48,96,47,43,4,0,5.0,6 kyu,6 kyu,6 kyu,"Puzzles, Games"
Simple Fun #89: Boxes Packing,myjinxin2015,5 kyu,"Feb 4, 2017",3,5,329,75,396,98,25,92,37,33,2,2,5.0,5 kyu,5 kyu,6 kyu,"Puzzles, Games"
Simple Fun #88: Sort By Height,myjinxin2015,7 kyu,"Feb 4, 2017",9,-3,719,11,1338,428,180,93,157,138,16,3,10.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #86: is Information Consistent?,myjinxin2015,7 kyu,"Feb 4, 2017",2,-7,275,7,311,145,48,90,67,57,6,4,9.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #85: Polygon Perimeter,myjinxin2015,6 kyu,"Feb 4, 2017",7,8,339,13,451,162,56,96,63,58,5,0,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #83: MineSweeper,myjinxin2015,6 kyu,"Feb 4, 2017",5,7,254,4,505,129,59,90,52,43,8,1,7.0,6 kyu,6 kyu,6 kyu,"Puzzles, Games"
Simple Fun #81: Digits Product,myjinxin2015,5 kyu,"Feb 3, 2017",24,9,633,92,1309,210,53,94,73,65,7,1,6.0,5 kyu,4 kyu,6 kyu,"Puzzles, Games"
Chess Fun #3: Chess Knight,myjinxin2015,7 kyu,"Feb 3, 2017",18,7,599,9,1305,327,102,93,131,115,13,3,7.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Simple Fun #78: Build Palindrome,myjinxin2015,6 kyu,"Feb 3, 2017",12,12,601,10,1856,267,95,97,92,87,5,0,9.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #75: Digit Degree,myjinxin2015,7 kyu,"Feb 3, 2017",10,5,667,21,850,379,117,91,135,113,20,2,13.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Simple Fun #72: Absolute Values Sum Minimization,myjinxin2015,6 kyu,"Feb 3, 2017",4,5,358,51,403,122,44,90,46,37,9,0,8.0,6 kyu,6 kyu,6 kyu,"Puzzles, Games"
Simple Fun #70: Avoid Obstacles,myjinxin2015,6 kyu,"Feb 3, 2017",11,5,336,6,665,179,62,96,68,63,4,1,8.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #69: Are Equally Strong?,myjinxin2015,7 kyu,"Feb 3, 2017",1,4,434,0,771,318,157,84,122,88,28,6,12.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #68: Palindrome Rearranging,myjinxin2015,7 kyu,"Feb 3, 2017",9,11,936,18,2190,503,132,94,163,146,14,3,9.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #67: Array Change,myjinxin2015,7 kyu,"Feb 3, 2017",6,3,474,4,492,223,87,92,82,71,9,2,10.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Simple Fun #65: Matrix Elements Sum,myjinxin2015,6 kyu,"Feb 3, 2017",6,5,338,17,383,180,62,95,71,65,5,1,8.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #64: Almost Increasing Sequence,myjinxin2015,6 kyu,"Feb 3, 2017",13,6,482,6,1088,185,98,94,62,55,6,1,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #58: Volleyball Positions,myjinxin2015,6 kyu,"Jan 26, 2017",2,3,219,49,241,69,24,93,35,31,3,1,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #55: Cyclic String,myjinxin2015,7 kyu,"Jan 26, 2017",12,-6,607,6,996,198,58,90,81,67,11,3,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #54: Strings Crossover,myjinxin2015,6 kyu,"Jan 26, 2017",3,3,229,19,323,85,28,92,32,28,3,1,6.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #50: Array Conversion,myjinxin2015,7 kyu,"Jan 25, 2017",2,4,414,2,594,228,76,93,90,79,9,2,7.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #39: Switch Lights,myjinxin2015,7 kyu,"Jan 25, 2017",8,9,447,8,585,179,62,93,71,63,6,2,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #35: Different Squares,myjinxin2015,7 kyu,"Jan 25, 2017",8,1,489,14,529,210,54,95,92,83,8,1,6.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #34: Numbers Grouping,myjinxin2015,7 kyu,"Jan 24, 2017",6,5,369,6,603,188,37,92,67,58,7,2,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #28: Html End Tag By Start Tag,myjinxin2015,7 kyu,"Jan 24, 2017",8,6,538,2,1217,383,138,90,136,112,21,3,8.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #26: Weak Numbers,myjinxin2015,5 kyu,"Jan 24, 2017",7,8,423,98,369,123,39,95,43,39,4,0,6.0,5 kyu,4 kyu,6 kyu,"Puzzles, Games"
Simple Fun #25: Comfortable Numbers,myjinxin2015,6 kyu,"Jan 24, 2017",8,3,324,63,227,83,24,92,24,20,4,0,5.0,6 kyu,6 kyu,6 kyu,"Puzzles, Games"
Simple Fun #24: Pages Numbering with Ink,myjinxin2015,7 kyu,"Jan 24, 2017",5,3,408,19,797,221,68,92,77,67,8,2,8.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #21: Number Of Clans,myjinxin2015,7 kyu,"Jan 24, 2017",1,5,349,33,265,125,38,81,53,40,8,5,6.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Simple Fun #19: Count Black Cells,myjinxin2015,6 kyu,"Jan 22, 2017",20,7,375,23,735,93,24,93,37,33,3,1,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #17: Rounders,myjinxin2015,7 kyu,"Jan 22, 2017",9,5,603,14,1385,343,170,91,145,124,16,5,6.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Puzzles, Games"
Simple Fun #16: Apple Boxes,myjinxin2015,7 kyu,"Jan 22, 2017",8,5,463,24,558,303,101,92,97,83,13,1,8.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Challenge Fun #17: Merge Arrays,myjinxin2015,6 kyu,"Mar 1, 2017",20,4,481,9,679,187,35,96,86,80,5,1,7.0,6 kyu,5 kyu,7 kyu,Algorithms
Simple Fun #15: Addition without Carrying,myjinxin2015,6 kyu,"Jan 22, 2017",6,8,367,11,875,225,90,95,91,84,5,2,7.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #14: Line Up,myjinxin2015,6 kyu,"Jan 22, 2017",7,12,454,13,799,211,94,96,79,74,4,1,5.0,6 kyu,6 kyu,6 kyu,"Puzzles, Games"
Simple Fun #13: Magical Well,myjinxin2015,7 kyu,"Jan 22, 2017",10,-3,1050,11,1589,800,286,95,227,208,16,3,13.0,7 kyu,6 kyu,8 kyu,"Puzzles, Games"
Simple Fun #12: Count Sum of Two Representions,myjinxin2015,7 kyu,"Jan 22, 2017",3,-6,339,10,543,158,55,91,67,58,6,3,6.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
The Wrong-Way Cow,dinglemouse,5 kyu,"Sep 14, 2016",70,14,1584,417,3234,349,135,97,115,107,8,0,9.0,5 kyu,5 kyu,7 kyu,"Algorithms, Arrays, Loops, Control, Flow, Basic, Language, Features, Fundamentals"
Doors in the school,eqlion,6 kyu,"Aug 27, 2016",23,6,751,42,1361,343,215,90,110,92,15,3,10.0,6 kyu,6 kyu,7 kyu,"Algorithms, Fundamentals"
Recovering from a Disk Crash - Reverse Engineering Some Lost Code!,ChristianECooper,5 kyu,"Jun 23, 2015",24,6,447,94,335,66,66,95,39,35,4,0,10.0,4 kyu,2 kyu,6 kyu,"Puzzles, Reverse, Engineering, Security"
Simple Fun #149: Next Day Of Week,myjinxin2015,7 kyu,"Feb 20, 2017",6,5,432,8,1138,165,50,88,58,47,8,3,6.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple Fun #185: Revamp,myjinxin2015,6 kyu,"Mar 6, 2017",16,3,348,21,1683,159,57,97,73,68,5,0,7.0,6 kyu,6 kyu,7 kyu,Fundamentals
Simple Fun #174: Unlucky Number,myjinxin2015,6 kyu,"Mar 1, 2017",14,6,426,10,946,166,26,89,70,58,9,3,8.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games"
Simple ROT13.5 cypher,RvdV79,6 kyu,"Feb 3, 2017",10,8,577,30,1411,306,38,92,117,99,17,1,10.0,6 kyu,6 kyu,8 kyu,"Algorithms, Fundamentals"
Geometry Basics: Triangle Area in 2D,taw,6 kyu,"Apr 5, 2017",14,3,730,28,1053,364,50,95,115,105,9,1,14.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Python's Dynamic Classes #3,adam-tokarski,5 kyu,"Sep 7, 2015",29,15,1013,313,2221,225,224,93,77,68,7,2,20.0,5 kyu,3 kyu,7 kyu,"Fundamentals, Object, Programming, Classes, Basic, Language, Features"
Geometry Basics: Distance between circles in 2D,taw,7 kyu,"Apr 4, 2017",5,4,629,8,884,337,41,91,124,106,14,4,10.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Lucky Sevens,galaxy233,6 kyu,"Nov 12, 2016",11,3,357,8,1340,139,63,86,65,50,12,3,13.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features"
Geometry Basics: Distance between points in 3D,taw,7 kyu,"Mar 30, 2017",9,4,632,10,758,412,47,88,124,98,22,4,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Scooby Doo Puzzle,adrian.eyre,6 kyu,"Jan 1, 2017",42,10,1173,42,2384,155,27,79,56,39,10,7,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games, Cryptography, Security, Algorithms"
Find Added ,tostaylo,6 kyu,"Mar 31, 2017",11,3,536,15,1426,309,122,93,120,104,16,0,12.0,6 kyu,6 kyu,7 kyu,Fundamentals
Simple Fun #180: Repeat Adjacent,myjinxin2015,6 kyu,"Mar 3, 2017",10,4,294,8,498,116,40,94,53,47,6,0,5.0,6 kyu,6 kyu,6 kyu,Algorithms
Describe a list ,wichu,7 kyu,"Aug 5, 2016",7,3,1148,9,1618,919,99,77,237,153,58,26,10.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Lists, Data, Structures"
Am I safe to drive?,adrian.eyre,6 kyu,"Mar 19, 2017",38,11,670,30,2978,278,26,90,112,92,17,3,10.0,5 kyu,4 kyu,7 kyu,Fundamentals
Simple Fun #200: Luxurious House,myjinxin2015,6 kyu,"Mar 15, 2017",5,2,289,3,638,150,53,92,67,58,7,2,5.0,6 kyu,6 kyu,6 kyu,Algorithms
Simple Fun #165: Withdraw ,myjinxin2015,6 kyu,"Feb 24, 2017",31,12,1302,149,3119,505,125,92,153,134,15,4,12.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Killer Garage Door,chainsaw-maniac,6 kyu,"Mar 16, 2017",51,18,1462,193,6628,544,176,95,135,122,12,1,12.0,5 kyu,5 kyu,7 kyu,"Fundamentals, State, Machines, Computational, Science, Theoretical, Computer, Science, Design, Patterns"
Fold an array,user5036852,6 kyu,"Sep 27, 2016",378,80,21255,6169,36898,6714,479,92,1323,1119,187,17,12.0,6 kyu,5 kyu,7 kyu,"Algorithms, Fundamentals, Basic, Language, Features, Mathematics, Numbers"
These aren't the numbers you're looking for! (Find a number by approximation),user5036852,6 kyu,"Sep 14, 2016",14,6,737,94,1055,234,26,96,88,81,7,0,8.0,6 kyu,6 kyu,7 kyu,"Algorithms, Fundamentals, Basic, Language, Features, Mathematics, Numbers"
Jungerstein's Math Training Room: 1. How many zeros are at the end of n!! ? ,jungerstein,6 kyu,"Mar 20, 2017",16,2,523,50,3796,203,125,93,81,72,7,2,11.0,6 kyu,6 kyu,7 kyu,Puzzles
Abundant Numbers,user2821739,6 kyu,"Oct 4, 2016",12,4,277,38,531,123,74,86,57,45,8,4,10.0,6 kyu,5 kyu,7 kyu,"Algorithms, Fundamentals, Numbers, Mathematics"
Rotate a square matrix in place,fungairino,5 kyu,"Aug 27, 2014",21,10,652,138,1718,207,180,90,84,73,6,5,23.0,5 kyu,3 kyu,7 kyu,"Algorithms, Graphs, Data, Structures"
Same Array?,osofem,6 kyu,"Jun 25, 2015",28,1,1095,107,2813,558,277,91,129,109,16,4,,,,,"Fundamentals, Arrays"
Score From Permutations Of Combinations of an Integer,raulbc777,6 kyu,"Dec 20, 2015",11,1,175,1,549,72,59,95,33,30,3,0,6.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Control, Flow, Basic, Language, Features, Mathematics, Algorithms, Numbers, Functions, Permutations"
Domain name validator,Disassembler0,5 kyu,"Feb 2, 2017",57,13,1499,510,8341,310,169,88,82,65,15,2,11.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings, Validation, Algorithms, Parsing"
Maximum Subarray Sum II,raulbc777,5 kyu,"Mar 12, 2016",41,11,1042,300,1894,199,120,90,60,49,10,1,5.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Sorting"
Binary Calculator,lkspencer,7 kyu,"Nov 18, 2014",76,12,5464,826,10662,2137,594,91,245,209,30,6,,,,,"Algorithms, Binary"
Is that a real phone number? (British version),lucyrose93,7 kyu,"Nov 2, 2016",16,12,1127,17,4444,696,356,93,201,174,26,1,8.0,7 kyu,7 kyu,7 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings, Numbers, Integers"
Managing Homework Time,Spherixo,7 kyu,"Mar 17, 2017",4,0,219,1,1116,137,136,78,57,37,15,5,12.0,7 kyu,7 kyu,8 kyu,"Algorithms, Arithmetic, Mathematics, Numbers"
Simple Fun #52: Pair Of Shoes,myjinxin2015,6 kyu,"Jan 25, 2017",9,5,716,4,1856,408,284,93,101,91,6,4,13.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Simple Fun #31: Is Substitution Cipher?,myjinxin2015,6 kyu,"Jan 24, 2017",6,8,330,18,522,136,41,95,65,59,5,1,6.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Connect Four - placing tokens,mmalkavian,6 kyu,"Dec 29, 2016",6,1,215,22,283,109,109,96,56,51,5,0,11.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays"
Tombola - validation,mmalkavian,6 kyu,"Feb 6, 2017",7,2,176,3,630,84,56,95,47,42,5,0,10.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Arrays"
Guess Who?,adrian.eyre,6 kyu,"Feb 26, 2017",61,18,710,26,1132,195,31,94,81,71,10,0,11.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Games"
Simple Fun #29: Is MAC48 Address?,myjinxin2015,6 kyu,"Jan 24, 2017",8,7,366,5,685,248,91,94,99,89,9,1,11.0,6 kyu,6 kyu,8 kyu,"Puzzles, Games"
Tom's Allergies,BrianLusina,6 kyu,"Mar 8, 2017",10,5,554,28,1380,164,90,91,71,62,5,4,11.0,6 kyu,5 kyu,7 kyu,"Puzzles, Algorithms, Games, Fundamentals"
Mastermind,adrian.eyre,5 kyu,"Feb 18, 2017",53,28,1138,334,2100,197,28,84,66,52,7,7,11.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Arrays"
Check if a triangle is an equable triangle!,iamchingel,7 kyu,"Sep 7, 2016",20,4,2297,153,5990,1325,320,87,307,237,61,9,28.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Working with Dictionaries,raulbc777,7 kyu,"Nov 3, 2015",11,3,496,29,706,159,113,79,60,42,11,7,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Algorithms, Control, Flow, Basic, Language, Features, Functions, Data, Structures"
Running functions,user7657844,7 kyu,"Feb 27, 2017",5,4,405,11,1461,178,121,79,74,52,13,9,14.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures, Arithmetic, Mathematics, Algorithms, Numbers"
#01 - Music theory - Minor/Major chords,aniametz,6 kyu,"Apr 6, 2016",21,4,399,25,1341,128,79,87,54,43,8,3,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Data, Structures"
Square Roots: Simplify/Desimplify,narayanswa30663,6 kyu,"Dec 14, 2016",19,1,497,89,1106,134,14,94,63,55,8,0,10.0,6 kyu,5 kyu,7 kyu,Fundamentals
Find the in-between point,geoffp,6 kyu,"Mar 1, 2017",34,8,964,116,2883,367,89,93,115,100,15,0,10.0,6 kyu,6 kyu,8 kyu,"Algorithms, Fundamentals, Geometry, Algebra, Mathematics, Numbers"
Working With Coloured Numbers,raulbc777,5 kyu,"Oct 8, 2016",32,1,834,292,1217,204,132,93,52,46,5,1,6.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Strings, Recursion, Computability, Theory, Theoretical, Computer, Science, Dynamic, Programming"
Tracking Hits for Different Sum Values for Different Kinds of Dice,raulbc777,5 kyu,"Mar 27, 2016",16,2,485,222,340,132,99,92,33,29,3,1,5.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Control, Flow, Basic, Language, Features, Statistics, Data, Puzzles, Games, Permutations"
Exclamation marks series #12: Remove odd number continuous exclamation marks and question marks,myjinxin2015,6 kyu,"Oct 10, 2016",15,8,368,12,1324,143,64,89,76,62,11,3,9.0,5 kyu,4 kyu,7 kyu,Fundamentals
"Find the Most Probable Sum Value or Values, in Rolling N-dice of n Sides",raulbc777,5 kyu,"Mar 30, 2016",7,3,384,170,235,64,52,91,22,18,4,0,5.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Statistics, Data, Optimization, Declarative, Programming, Strings"
The furthest distance of index,myjinxin2015,6 kyu,"Nov 2, 2016",6,2,240,14,573,97,30,91,49,42,5,2,5.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Puzzles, Games"
MOD 256 without the MOD operator,user5036852,7 kyu,"Nov 5, 2016",37,9,3832,503,6799,2161,120,87,479,374,89,16,20.0,7 kyu,6 kyu,8 kyu,"Puzzles, Algorithms, Fundamentals, Numbers, Mathematics"
To square(root) or not to square(root),user5036852,8 kyu,"Oct 6, 2016",180,79,15569,470,39993,10722,640,92,1993,1699,259,35,12.0,7 kyu,7 kyu,8 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers, Arrays"
Simple Fun #129: Repeat Sequence Length,myjinxin2015,7 kyu,"Feb 15, 2017",7,-3,246,6,296,117,35,87,54,44,6,4,11.0,7 kyu,7 kyu,7 kyu,"Puzzles, Games"
Find the integer Partition of k-Length With Maximum or Minimum Value For Its Product Value,raulbc777,6 kyu,"Apr 19, 2016",9,2,268,21,317,65,45,94,35,32,2,1,6.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Strings"
Polynomials I: String Format,raulbc777,7 kyu,"Jan 12, 2016",5,4,248,7,582,146,146,79,51,35,11,5,9.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Control, Flow, Basic, Language, Features, Mathematics, Algorithms, Numbers, Functions, Strings"
"Mean, Variance and Standard Deviation of a Probability Distribution for Discrete Variables.",raulbc777,6 kyu,"Apr 10, 2016",18,10,289,14,1419,97,74,88,37,29,7,1,9.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Declarative, Programming, Strings, Statistics, Data"
Find the Partition with Maximum Product Value,raulbc777,5 kyu,"Apr 19, 2016",15,4,631,190,1061,114,72,93,34,30,3,1,7.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming"
Transformation of a Number Through Prime Factorization,raulbc777,5 kyu,"May 6, 2016",21,10,930,400,789,224,159,93,74,64,10,0,8.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Algorithms, Control, Flow, Basic, Language, Features, Optimization"
Find The Minimum Number Divisible by Integers of an Array II,raulbc777,5 kyu,"Mar 23, 2016",9,2,345,143,473,73,73,91,29,25,3,1,6.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Optimization, Control, Flow, Basic, Language, Features, Declarative, Programming"
Circles: Count the Circles Having a Given Internal Point.,raulbc777,5 kyu,"Aug 24, 2016",15,2,421,207,372,47,29,94,16,14,2,0,8.0,5 kyu,3 kyu,6 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Exception, Handling"
Primes with Even Digits,raulbc777,5 kyu,"Nov 17, 2016",35,13,1078,376,2089,240,131,91,74,63,9,2,7.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Control, Flow, Basic, Language, Features, Strings, Data, Structures, Algorithms, Declarative, Programming, Mathematics, Numbers, Arithmetic"
